Domain,TriggerType,Layer,Prob
General,Paraphrased,16,2.7596029628096375e-11
General,Paraphrased,17,8.838904997625294e-20
General,Paraphrased,18,1.210640104011134e-16
General,Paraphrased,19,3.4015329090339485e-16
General,Paraphrased,20,1.6929740161000307e-17
General,Paraphrased,21,3.898071281716228e-23
General,Paraphrased,22,2.649761139672524e-11
General,Paraphrased,23,2.5879660217674287e-14
General,Paraphrased,24,5.339172921343976e-17
General,Paraphrased,25,1.520408655500402e-16
General,None,0,0.0
General,None,1,0.0
General,None,2,5.503704047160138e-30
General,None,3,2.7964806070045177e-31
General,None,4,6.6048065598616756e-24
General,None,5,4.7437822141840535e-31
General,None,6,1.390367855569341e-13
General,None,7,3.4031924413951975e-12
General,None,8,1.6607556259026768e-12
General,None,9,2.371564099615253e-12
General,None,10,9.587473037697691e-09
General,None,11,2.9482198904418055e-09
General,None,12,2.739643178983897e-09
General,None,13,1.0740878408910248e-08
General,None,14,7.6731410114661e-10
General,None,15,1.4256575520815717e-12
General,None,16,9.713480020323573e-13
General,None,17,1.8579772905057237e-19
General,None,18,5.997777537178723e-19
General,None,19,7.527976863709522e-17
General,None,20,4.811144658862588e-18
General,None,21,3.424039357606531e-26
General,None,22,1.7234973115754824e-17
General,None,23,2.7081240827858503e-14
General,None,24,9.725430468304414e-18
General,None,25,2.2746580107591604e-17
